promoter_id	tss_id
CPROM202	CTSS268
CPROM203	CTSS269
CPROM204	CTSS270
CPROM204	CTSS271
CPROM205	CTSS272
CPROM205	CTSS273
CPROM206	CTSS274
CPROM207	CTSS275
CPROM208	CTSS276
CPROM209	CTSS277
CPROM209	CTSS278
CPROM209	CTSS279
CPROM210	CTSS280
CPROM210	CTSS281
CPROM211	CTSS282
CPROM212	CTSS283
CPROM213	CTSS284
CPROM214	CTSS285
CPROM215	CTSS286
CPROM216	CTSS287
CPROM217	CTSS288
CPROM218	CTSS289
CPROM219	CTSS290
CPROM219	CTSS291
CPROM220	CTSS292
CPROM220	CTSS293
CPROM221	CTSS294
CPROM222	CTSS295
CPROM223	CTSS296
CPROM224	CTSS297
CPROM225	CTSS298
CPROM226	CTSS299
CPROM227	CTSS300
CPROM228	CTSS301
CPROM229	CTSS302
CPROM230	CTSS303
CPROM231	CTSS304
CPROM232	CTSS305
CPROM233	CTSS306
CPROM234	CTSS307
CPROM235	CTSS308
CPROM236	CTSS309
CPROM237	CTSS310
CPROM238	CTSS311
CPROM238	CTSS312
CPROM239	CTSS313
CPROM240	CTSS314
CPROM240	CTSS315
CPROM241	CTSS316
CPROM242	CTSS317
CPROM243	CTSS318
CPROM244	CTSS319
CPROM245	CTSS320
CPROM246	CTSS321
CPROM246	CTSS322
CPROM246	CTSS323
CPROM247	CTSS324
CPROM248	CTSS325
CPROM249	CTSS326
CPROM250	CTSS327
CPROM251	CTSS328
CPROM252	CTSS329
CPROM253	CTSS330
CPROM254	CTSS331
CPROM255	CTSS332
CPROM255	CTSS333
CPROM256	CTSS334
CPROM257	CTSS335
CPROM258	CTSS336
CPROM259	CTSS337
CPROM260	CTSS338
CPROM261	CTSS339
CPROM262	CTSS340
CPROM262	CTSS341
CPROM263	CTSS342
CPROM264	CTSS343
CPROM264	CTSS344
CPROM264	CTSS345
CPROM265	CTSS346
CPROM266	CTSS347
CPROM267	CTSS348
CPROM268	CTSS349
CPROM268	CTSS350
CPROM269	CTSS351
CPROM270	CTSS352
CPROM271	CTSS353
CPROM272	CTSS354
CPROM273	CTSS355
CPROM274	CTSS356
CPROM275	CTSS357
CPROM276	CTSS358
CPROM277	CTSS359
CPROM278	CTSS360
CPROM279	CTSS361
CPROM280	CTSS362
CPROM280	CTSS363
CPROM281	CTSS364
CPROM282	CTSS365
CPROM283	CTSS366
CPROM284	CTSS367
CPROM285	CTSS368
CPROM286	CTSS369
CPROM287	CTSS370
CPROM288	CTSS371
CPROM289	CTSS372
CPROM290	CTSS373
CPROM291	CTSS374
CPROM292	CTSS375
CPROM293	CTSS376
CPROM294	CTSS377
CPROM295	CTSS378
CPROM296	CTSS379
CPROM296	CTSS380
CPROM297	CTSS381
CPROM298	CTSS382
CPROM299	CTSS383
CPROM300	CTSS384
CPROM301	CTSS385
CPROM302	CTSS386
CPROM303	CTSS387
CPROM304	CTSS388
CPROM305	CTSS389
CPROM306	CTSS390
CPROM307	CTSS391
CPROM307	CTSS392
CPROM308	CTSS393
CPROM309	CTSS394
CPROM309	CTSS395
CPROM309	CTSS396
CPROM310	CTSS397
CPROM311	CTSS398
CPROM312	CTSS399
CPROM313	CTSS400
CPROM314	CTSS401
CPROM315	CTSS402
CPROM316	CTSS403
CPROM317	CTSS404
CPROM318	CTSS405
CPROM319	CTSS406
CPROM320	CTSS407
CPROM321	CTSS408
CPROM322	CTSS409
CPROM322	CTSS410
CPROM323	CTSS411
CPROM324	CTSS412
CPROM325	CTSS413
CPROM326	CTSS414
CPROM327	CTSS415
CPROM328	CTSS416
CPROM329	CTSS417
CPROM330	CTSS418
CPROM331	CTSS419
CPROM332	CTSS420
CPROM333	CTSS421
CPROM333	CTSS422
CPROM334	CTSS423
CPROM335	CTSS424
CPROM336	CTSS425
CPROM337	CTSS426
CPROM338	CTSS427
CPROM339	CTSS428
CPROM340	CTSS429
CPROM341	CTSS430
CPROM342	CTSS431
CPROM343	CTSS432
CPROM344	CTSS433
CPROM345	CTSS434
CPROM346	CTSS435
CPROM346	CTSS436
CPROM346	CTSS437
CPROM347	CTSS438
CPROM348	CTSS439
CPROM349	CTSS440
CPROM350	CTSS441
CPROM351	CTSS442
CPROM352	CTSS443
CPROM353	CTSS444
CPROM354	CTSS445
CPROM355	CTSS446
CPROM356	CTSS447
CPROM357	CTSS448
CPROM358	CTSS449
CPROM359	CTSS450
CPROM360	CTSS451
CPROM361	CTSS452
CPROM362	CTSS453
CPROM363	CTSS454
CPROM364	CTSS455
CPROM365	CTSS456
CPROM365	CTSS457
CPROM366	CTSS458
CPROM366	CTSS459
CPROM366	CTSS460
CPROM367	CTSS461
CPROM368	CTSS462
CPROM369	CTSS463
CPROM370	CTSS464
CPROM371	CTSS465
CPROM372	CTSS466
CPROM372	CTSS467
CPROM373	CTSS468
CPROM373	CTSS469
CPROM374	CTSS470
CPROM375	CTSS471
CPROM376	CTSS472
CPROM377	CTSS473
CPROM378	CTSS474
CPROM379	CTSS475
CPROM380	CTSS476
CPROM381	CTSS477
CPROM382	CTSS478
CPROM383	CTSS479
CPROM384	CTSS480
CPROM385	CTSS481
CPROM386	CTSS482
CPROM387	CTSS483
CPROM388	CTSS484
CPROM389	CTSS485
CPROM390	CTSS486
CPROM391	CTSS487
CPROM391	CTSS488
CPROM392	CTSS489
CPROM393	CTSS490
CPROM394	CTSS491
CPROM395	CTSS492
CPROM396	CTSS493
CPROM397	CTSS494
CPROM398	CTSS495
CPROM399	CTSS496
CPROM400	CTSS497
CPROM401	CTSS498
CPROM402	CTSS499
CPROM403	CTSS500
CPROM403	CTSS501
CPROM404	CTSS502
CPROM405	CTSS503
CPROM406	CTSS504
CPROM407	CTSS505
CPROM408	CTSS506
CPROM409	CTSS507
CPROM410	CTSS508
CPROM411	CTSS509
CPROM412	CTSS510
CPROM413	CTSS511
CPROM414	CTSS512
CPROM415	CTSS513
CPROM416	CTSS514
CPROM417	CTSS515
CPROM418	CTSS516
CPROM419	CTSS517
CPROM420	CTSS518
CPROM421	CTSS519
CPROM422	CTSS520
CPROM423	CTSS521
CPROM424	CTSS522
CPROM425	CTSS523
CPROM426	CTSS524
CPROM427	CTSS525
CPROM428	CTSS526
CPROM429	CTSS527
CPROM430	CTSS528
CPROM431	CTSS529
CPROM432	CTSS530
